Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
3290,304,153,1940,262.689704,1,1,0
5468,269,116,1998,100.613362,0,1,0
5389,519,220,2005,40.102683,0,1,0
6474,318,233,2000,61.777471,0,1,0
2557,297,100,1987,93.791772,0,1,0
1770,135,108,1996,173.469189,0,1,0
4377,313,389,1923,106.72699,0,1,0
5096,260,69,1966,78.691664,0,1,0
3223,198,98,1998,127.205985,1,1,0
1270,128,48,2000,204.388215,0,1,0
2256,162,89,1998,165.728617,0,1,0
1979,270,57,1965,146.850459,0,1,0
1663,146,86,1998,201.706071,0,1,0
7078,283,173,1928,40.104048,0,1,0
1713,104,66,2013,33.969678,0,0,0
7160,202,126,2000,656.163109,0,1,0
1220,305,63,1971,113.82254,0,1,0
1815,200,71,1992,127.643923,0,1,0
1393,116,60,2009,175.11572,0,0,0
8600,322,116,2003,32.421245,0,1,0
2335,90,58,2010,73.361191,0,1,0
2113,230,79,2010,150.284784,0,1,0
2435,157,44,1994,246.956981,0,1,0
1250,181,60,1971,146.511341,0,1,0
21000,813,331,2002,38.116101,1,1,0
1900,284,147,2000,79.291023,0,1,0
7227,368,172,1994,68.067234,0,1,0
1677,140,135,1998,182.242184,0,1,0
1254,715,72,1958,19.977687,0,1,1
3895,157,36,1982,176.113223,0,1,0
1530,228,71,2007,149.11401,0,0,0
9700,479,140,1991,50.415693,0,1,0
1875,129,82,2010,19.660898,0,0,0
1138,146,59,1996,203.266109,0,1,0
3195,223,113,2011,164.676707,0,1,0
1404,128,72,1998,211.569509,0,1,0
1855,133,89,2010,215.052449,0,1,0
10487,405,297,2000,15.530277,0,1,0
3299,158,126,1943,313.198504,0,1,0
1111,100,57,1968,205.754851,0,1,0
1680,136,69,2009,203.811615,0,1,0
1566,98,81,2008,255.385955,0,1,0
1357,195,91,1996,119.353122,0,1,0
3780,223,107,2011,34.592071,0,1,0
1708,210,174,1982,170.46046,0,1,0
2047,500,66,1975,88.080811,0,1,0
4069,268,112,1978,74.435282,0,1,1
1855,149,66,2008,169.802839,0,1,0
1525,278,53,1961,62.660292,0,1,0
1071,120,47,1996,226.737409,0,1,0
4116,190,97,1964,28.122511,1,1,0
2205,136,76,2008,169.802839,0,1,0
1018,162,25,1972,199.08441,0,1,0
1529,131,47,1980,169.109926,0,1,0
2484,105,80,1997,217.886726,0,1,0
